date,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,us_3y_yield,ukraine_3y_yield,ukraine_3y_change_pct,cpi_x,cpi_y,exchange_rate,interest_rate,gdp_yoy_pct,reserves_pct_gdp
2023-01-31,32866465573.4247,1808220000.0,5258548000.0,4393108000.0,15015123000.0,3.913,30.11111111111111,2.2533333333333334,,,,,,
2023-02-01,,,,,,,,,0.6937561942517344,5.212014134275618,90.0779707321732,8869.53,,
2023-02-28,32866465573.4247,1808220000.0,5258548000.0,4393108000.0,15015123000.0,4.234210526315789,29.72222222222222,0.0755555555555554,,,,,,
2023-03-01,,,,,,,,,1.500984251968504,4.585408731321418,91.1349151607901,11772.17,,
2023-03-31,32866465573.4247,1808220000.0,5258548000.0,4393108000.0,15015123000.0,4.085217391304347,30.681818181818183,0.2445454545454545,,,,,,
2023-04-01,,,,,,,,,0.1939393939393939,3.976114185843286,90.5214677881085,11526.96,,
2023-04-30,37371803631.261,1746553000.0,5190273000.0,4295935000.0,14684546000.0,3.758,27.95833333333333,0.9366666666666666,,,,,,
2023-05-01,,,,,,,,,0.5081054923784176,3.553814911517261,90.6491239021676,11546.89,,
2023-05-31,37371803631.261,1746553000.0,5190273000.0,4295935000.0,14684546000.0,3.820454545454545,20.80205882352941,10.971176470588237,,,,,,
2023-06-01,,,,,,,,,0.7944150216658642,15.18385003604903,92.288845267501,12376.58,,
2023-06-30,37371803631.261,1746553000.0,5190273000.0,4295935000.0,14684546000.0,4.266666666666668,22.145454545454545,0.8181818181818182,,,,,,
2023-07-01,,,,,,,,,-0.5970862192500597,14.72022955523673,92.4745241434026,15822.66,,
2023-07-31,38097457693.4001,1968080000.0,5165496000.0,4192816000.0,14246203000.0,4.472,21.028181818181817,12.24818181818182,,,,,,
2023-08-01,,,,,,,,,-1.393560788082653,14.14745231995445,93.0705750378467,13125.59,,
2023-08-31,38097457693.4001,1968080000.0,5165496000.0,4192816000.0,14246203000.0,4.586956521739131,21.093695652173917,-0.0752173913043478,,,,,,
2023-09-01,,,,,,,,,0.4873294346978558,13.24587388912399,94.3479576079065,10713.09,,
2023-09-30,38097457693.4001,1968080000.0,5165496000.0,4192816000.0,14246203000.0,4.741,21.494285714285716,0.0838095238095237,,,,,,
2023-10-01,,,,,,,,,0.8001939864209505,13.13642756680731,95.3412552507623,10753.74,,
